,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
120,Butaritari,56,KI,1541746191,100,3.07,172.79,83.47,15.32
121,Ilulissat,12,GL,1541742600,72,69.22,-51.1,15.8,4.54
122,Shitanjing,0,CN,1541746191,29,39.23,106.34,44.23,3.53
123,Tura,0,IN,1541746192,71,25.52,90.21,78.12,6.38
124,Nouadhibou,32,MR,1541743200,64,20.93,-17.03,68.0,18.34
125,Xuddur,0,SO,1541746192,67,4.12,43.89,80.23,10.07
126,Lufilufi,75,WS,1541743200,83,-13.87,-171.6,82.4,12.75
127,Pingdu,0,CN,1541743200,48,36.79,119.95,62.6,6.71
128,San Quintin,20,PH,1541743200,36,17.54,120.52,93.2,4.7
129,Oranjemund,0,ZA,1541746195,93,-28.55,16.43,58.95,10.25
130,Port Elizabeth,1,US,1541742960,62,39.31,-74.98,46.76,14.99
131,Alofi,92,NU,1541743200,94,-19.06,-169.92,75.2,5.82
132,Portree,80,GB,1541746198,98,57.41,-6.19,49.63,21.92
133,Beaverlodge,75,CA,1541743200,85,55.21,-119.43,10.4,9.62
134,Lebu,20,ET,1541746199,69,8.96,38.73,62.37,3.98
135,Klaksvik,88,FO,1541744400,93,62.23,-6.59,46.4,18.34
136,Avera,90,US,1541745300,97,33.19,-82.53,64.4,4.7
137,Lucea,20,JM,1541743200,83,18.44,-78.17,78.8,4.7
138,Gavle,36,SE,1541746201,100,60.67,17.14,39.1,3.24
139,Am Timan,0,TD,1541746201,34,11.04,20.28,65.07,6.33
140,Chuy,0,UY,1541746202,81,-33.69,-53.46,66.6,18.34
141,Pontes e Lacerda,56,BR,1541746202,95,-15.23,-59.33,72.22,3.24
142,Svetlaya,92,RU,1541746202,100,46.54,138.33,48.06,21.09
143,Rome,0,IT,1541742900,87,41.89,12.48,53.6,3.36
144,Atuona,56,PF,1541746203,100,-9.8,-139.03,77.49,6.71
145,Qaanaaq,44,GL,1541746203,100,77.48,-69.36,-2.93,7.38
146,Outjo,0,NA,1541743200,10,-20.11,16.16,80.6,4.7
147,Katsuura,75,JP,1541743200,93,33.93,134.5,62.6,11.41
148,Katherine,40,AU,1541745000,23,-14.47,132.26,104.0,9.17
149,Hamilton,75,BM,1541742900,83,32.3,-64.78,75.2,12.75
150,Newport,75,GB,1541744400,100,51.59,-3.0,50.0,11.41
151,Margate,75,AU,1541745000,42,-43.03,147.26,62.6,4.7
152,Saint-Denis,0,FR,1541745000,93,48.94,2.36,44.6,4.7
153,Idlib,40,SY,1541743980,100,35.93,36.64,50.0,3.8
154,Maniitsoq,0,GL,1541746209,100,65.42,-52.9,14.53,7.34
155,Palu,64,ID,1541746209,96,-0.9,119.87,71.91,1.79
156,Igrim,8,RU,1541746211,79,63.19,64.42,9.09,6.71
157,Dedougou,12,BF,1541746211,55,12.47,-3.47,65.7,3.58
158,Coquimbo,0,CL,1541743200,93,-29.95,-71.34,53.6,4.7
159,Dudinka,20,RU,1541746212,74,69.41,86.18,-17.2,22.15
160,Findlay,90,US,1541742780,69,41.04,-83.65,37.94,8.05
161,Sitka,0,US,1541746214,87,37.17,-99.65,24.21,5.03
162,Vagur,48,FO,1541746214,93,61.47,-6.81,49.14,23.33
163,Barra da Estiva,88,BR,1541746215,99,-13.63,-41.33,66.96,3.09
164,San Juan de los Lagos,5,MX,1541742060,62,21.25,-102.33,57.2,4.7
165,Dzhebariki-Khaya,0,RU,1541746215,69,62.22,135.8,-5.23,3.47
166,Marienburg,40,DE,1541744400,93,52.12,9.98,51.8,8.05
167,Zitlala,32,MX,1541746216,100,17.69,-99.19,58.86,1.45
168,Assiniboia,32,CA,1541746217,83,49.63,-105.99,2.07,3.58
169,Castro,36,CL,1541746219,95,-42.48,-73.76,48.55,3.31
170,Norman Wells,40,CA,1541743200,84,65.28,-126.83,3.2,2.24
171,Hun,20,BE,1541744700,87,50.34,4.87,46.4,2.24
172,Leningradskiy,76,RU,1541746220,96,69.38,178.42,21.37,17.29
173,Bemidji,90,US,1541745300,85,47.48,-94.89,13.1,8.05
174,Clyde River,90,CA,1541743920,83,70.47,-68.59,-11.21,2.24
175,Petropavlovsk-Kamchatskiy,0,RU,1541743200,43,53.05,158.65,33.8,17.9
176,Hopelchen,5,MX,1541742300,94,19.77,-89.85,75.2,3.69
177,Barcelos,40,PT,1541743200,93,41.53,-8.62,50.0,8.05
178,Kathu,0,ZA,1541746222,21,-27.7,23.05,72.0,5.99
179,Atambua,8,ID,1541746222,74,-9.11,124.89,88.65,3.69
180,Carnarvon,0,ZA,1541746223,21,-30.97,22.13,63.58,8.5
181,Vostok,92,RU,1541746223,96,46.45,135.83,47.16,12.64
182,Georgetown,20,GY,1541746224,91,6.8,-58.16,76.5,5.48
183,Harper,90,US,1541744100,93,30.3,-99.24,56.3,11.41
184,Komsomolskiy,0,RU,1541746226,53,67.55,63.78,-10.36,6.11
185,Bandarbeyla,68,SO,1541746226,100,9.49,50.81,79.2,10.02
186,Meulaboh,92,ID,1541746226,100,4.14,96.13,77.13,10.4
187,Kalaleh,76,IR,1541746227,79,37.38,55.49,52.15,3.98
188,Pernem,0,IN,1541746227,72,15.72,73.8,91.89,5.55
189,Yar-Sale,8,RU,1541746227,84,66.83,70.83,0.81,18.19
190,Floro,20,NO,1541744400,66,61.6,5.03,51.8,14.99
191,Urucara,8,BR,1541746229,95,-2.54,-57.76,76.23,2.35
192,Lugovoy,48,RU,1541746231,76,59.72,65.88,11.88,11.25
193,Geraldton,75,CA,1541743200,85,49.72,-86.95,10.4,4.7
194,Mehamn,20,NO,1541742600,84,71.03,27.85,37.4,5.82
195,Severo-Kurilsk,36,RU,1541746232,94,50.68,156.12,40.05,13.38
196,Bereda,0,ES,1541745000,87,43.27,-7.54,50.0,9.17
197,Dikson,48,RU,1541746233,100,73.51,80.55,14.98,27.13
198,Alice Springs,0,AU,1541745000,30,-23.7,133.88,80.6,9.17
199,Camacha,20,PT,1541743200,77,33.08,-16.33,62.6,2.24
200,Mackenzie,90,CA,1541743500,92,55.34,-123.09,26.6,8.05
201,Jamestown,0,AU,1541746235,28,-33.21,138.6,71.1,11.07
202,Bulawayo,0,ZW,1541746235,69,-20.16,28.59,58.95,9.24
203,Lithgow,92,AU,1541745000,46,-33.48,150.16,71.6,14.99
204,Diu,0,IN,1541746236,22,20.71,70.98,93.1,5.37
205,Burgos,75,ES,1541745000,93,42.34,-3.7,41.0,6.93
206,Maraa,92,BR,1541746237,100,-1.83,-65.37,72.67,6.26
207,Ambovombe,64,MG,1541746237,76,-25.18,46.09,71.91,11.41
208,Konevo,20,BG,1541746237,99,41.67,25.61,39.15,2.98
209,Cap Malheureux,40,MU,1541743200,65,-19.98,57.61,82.4,12.75
210,Prado,92,BR,1541746238,100,-17.34,-39.22,74.79,16.62
211,Sosva,0,RU,1541746238,67,59.17,61.86,14.8,5.77
212,Los Andes,0,CL,1541743200,64,-32.83,-70.6,59.0,8.05
213,Iracoubo,24,GF,1541746239,82,5.48,-53.21,79.38,4.99
214,Yanji,32,CN,1541746240,79,42.89,129.5,42.75,10.4
215,Pitimbu,100,BR,1541746240,97,-7.47,-34.81,78.52,13.82
216,Crisan,75,RO,1541743200,81,44.97,29.47,48.2,6.93
217,Faanui,76,PF,1541746241,100,-16.48,-151.75,81.36,21.59
218,Khash,0,IR,1541746241,28,28.22,61.21,67.41,4.09
219,Pandan,76,PH,1541746241,97,11.72,122.09,83.88,20.09
220,Halifax,5,CA,1541743200,100,44.65,-63.58,39.2,10.29
221,Isiro,64,CD,1541746242,96,2.77,27.62,69.88,3.09
222,Williams Lake,90,CA,1541743200,86,52.13,-122.14,28.4,5.82
223,Mahebourg,40,MU,1541743200,65,-20.41,57.7,82.4,12.75
224,College,40,US,1541744280,92,64.86,-147.8,12.02,2.86
225,Chernyshevskiy,88,RU,1541746244,89,63.01,112.47,21.15,7.78
226,Faya,0,SA,1541743200,52,18.39,42.45,69.8,10.29
227,Ambilobe,24,MG,1541746245,58,-13.19,49.05,86.62,4.09
228,Saint Anthony,1,US,1541742960,62,43.97,-111.68,26.96,10.29
229,Oruro,32,BO,1541746246,100,-17.97,-67.11,37.17,4.7
230,Hofn,92,IS,1541746246,96,64.25,-15.21,44.64,22.21
231,Labuhan,44,ID,1541746246,88,-2.54,115.51,81.09,2.98
232,Spornoye,90,RU,1541743200,90,50.84,37.29,32.0,2.24
233,Pangnirtung,0,CA,1541746247,100,66.15,-65.72,8.1,3.47
234,Beyneu,20,KZ,1541746250,72,45.32,55.19,35.91,4.47
235,Karratha,76,AU,1541746250,23,-20.74,116.85,99.63,5.82
236,Carauari,56,BR,1541746250,98,-4.88,-66.9,75.96,2.46
237,Verkhnyaya Sinyachikha,20,RU,1541746251,66,57.98,61.67,12.87,5.03
238,Usinsk,64,RU,1541746251,89,66.0,57.56,10.12,5.03
239,Khandyga,0,RU,1541746251,69,62.65,135.58,-5.23,3.47
240,Hualmay,36,PE,1541746252,96,-11.1,-77.61,55.71,2.75
241,Coahuayana,0,MX,1541746252,84,18.62,-100.35,63.27,1.01
242,Athabasca,0,CA,1541746144,77,54.72,-113.29,1.17,13.15
243,Penticton,40,CA,1541743200,92,49.49,-119.59,28.4,3.36
244,Palmerston,90,CA,1541743200,80,43.83,-80.85,33.8,4.7
245,Poum,8,MK,1541746253,88,41.28,20.71,29.97,1.07
246,San Patricio,0,PY,1541746253,71,-26.98,-56.83,71.95,4.7
247,La Ronge,20,CA,1541743200,83,55.1,-105.3,-7.61,5.37
248,Basay,68,PH,1541746254,93,9.41,122.64,84.33,7.78
249,Kavaratti,0,IN,1541746255,100,10.57,72.64,85.23,4.32
250,Poronaysk,92,RU,1541746255,99,49.22,143.1,38.61,4.59
251,Rio Grande,0,BR,1541746255,79,-32.03,-52.1,68.85,22.37
252,Hasaki,75,JP,1541744040,100,35.73,140.83,62.6,4.7
253,Vardo,1,US,1541745600,86,39.62,-77.74,44.6,4.7
254,Dalvik,90,SE,1541744400,100,57.79,14.13,44.6,2.24
255,Vilhena,44,BR,1541746255,98,-12.74,-60.15,69.93,1.86
256,Belaya Kholunitsa,64,RU,1541746257,76,58.84,50.85,13.63,3.36
257,General Roca,0,AR,1541743200,22,-39.03,-67.58,69.8,11.41
258,Haines Junction,44,CA,1541746257,93,60.75,-137.51,7.74,2.24
259,Ginda,12,IN,1541746258,68,30.69,78.49,56.2,1.97
260,Santiago del Estero,0,AR,1541746258,61,-27.8,-64.26,79.56,15.17
261,Pishin,56,PK,1541746258,35,30.58,67.0,60.07,2.46
262,Belyy Yar,0,RU,1541743200,45,53.6,91.39,42.8,26.84
263,Arlit,0,NE,1541746259,28,18.74,7.39,56.34,2.75
264,Aquiraz,40,BR,1541743200,74,-3.9,-38.39,80.6,14.99
265,Flinders,20,AU,1541743200,49,-34.58,150.85,69.8,19.46
266,Banjar,68,ID,1541746260,85,-7.37,108.54,79.74,3.58
267,Provideniya,90,RU,1541741400,100,64.42,-173.23,35.6,22.37
268,Cherskiy,56,RU,1541746261,85,68.75,161.3,-9.37,1.01
269,Lata,12,IN,1541746262,68,30.78,78.62,56.2,1.97
270,Aksu,75,KZ,1541743200,85,52.04,76.93,15.8,15.66
271,Mount Gambier,80,AU,1541745970,71,-37.83,140.78,59.85,9.06
272,Dongkan,0,CN,1541746265,82,34.0,119.83,61.65,8.34
273,Hlinsko,90,CZ,1541743200,100,49.76,15.91,46.4,5.26
274,Fuerte Olimpo,12,BR,1541746266,80,-21.04,-57.87,74.02,11.14
275,Nosy Varika,12,MG,1541746266,84,-20.58,48.53,79.78,5.21
276,Nanning,0,CN,1541743200,56,22.83,108.3,73.4,4.47
277,Chingirlau,12,KZ,1541746267,88,51.09,54.08,33.43,6.33
278,Illela,0,NG,1541746267,36,12.25,4.3,64.93,8.9
279,Ondjiva,0,AO,1541746267,22,-17.07,15.73,71.95,8.61
280,Selikhino,88,RU,1541746267,69,50.37,137.51,35.73,5.59
281,Ewa Beach,1,US,1541743440,76,21.32,-158.01,78.98,5.82
282,Enfield,75,GB,1541744400,93,51.65,-0.08,50.0,9.17
283,Baykit,80,RU,1541746268,86,61.68,96.39,24.7,10.25
284,Almaznyy,24,RU,1541746269,81,48.03,40.04,29.92,2.86
285,Araouane,32,ML,1541746269,24,18.9,-3.53,68.85,9.4
286,Olga,90,US,1541744820,5,34.11,-118.17,73.04,18.34
287,Krasnokamensk,76,RU,1541746269,67,50.1,118.04,24.66,8.01
288,Heihe,75,RU,1541743200,86,50.24,127.51,26.6,11.18
289,Macheng,0,CN,1541746271,56,31.18,115.03,63.67,3.8
290,San Antonio,0,CL,1541743200,100,-33.58,-71.61,50.0,4.7
291,Amapa,75,HN,1541743200,83,15.09,-87.97,78.8,4.7
292,Zarya,12,RU,1541746273,96,45.67,39.64,35.46,6.78
293,Itarema,80,BR,1541746274,86,-2.92,-39.92,77.13,12.37
294,Sao Gabriel da Cachoeira,92,BR,1541746274,100,-0.13,-67.09,73.93,1.01
295,Broken Hill,44,AU,1541746275,36,-31.97,141.45,73.12,7.56
296,Saint-Philippe,1,CA,1541744100,74,45.36,-73.48,37.4,3.36
297,Port Macquarie,20,AU,1541743200,56,-31.43,152.91,68.0,13.87
298,Kavieng,20,PG,1541746276,100,-2.57,150.8,83.52,10.29
299,Zhigansk,76,RU,1541746279,68,66.77,123.37,7.78,15.39
300,Bathsheba,40,BB,1541743200,94,13.22,-59.52,78.8,14.99
301,Raudeberg,20,NO,1541744400,66,61.99,5.14,51.8,14.99
302,Iquique,90,CL,1541743200,68,-20.22,-70.14,66.2,3.36
303,Belmonte,32,PT,1541746280,99,40.36,-7.35,37.08,2.75
304,Coihaique,90,CL,1541743200,93,-45.58,-72.07,50.0,3.69
305,Pozo Colorado,12,PY,1541746281,64,-23.49,-58.8,76.86,9.8
306,Stillwater,90,US,1541744100,94,36.12,-97.06,37.94,10.29
307,Mayumba,92,GA,1541746282,100,-3.44,10.65,77.94,4.54
308,Wenling,24,CN,1541746276,90,28.38,121.38,65.02,7.34
309,Tianpeng,12,CN,1541746282,91,28.88,112.34,62.77,5.7
310,Srednekolymsk,88,RU,1541746283,77,67.46,153.71,-7.21,4.54
311,Kapit,44,MY,1541746283,70,2.02,112.94,86.49,2.35
312,Beringovskiy,76,RU,1541746283,99,63.05,179.32,36.81,10.85
313,Natal,40,BR,1541743200,74,-5.81,-35.21,78.8,8.05
314,Grand Gaube,40,MU,1541743200,65,-20.01,57.66,82.4,12.75
315,Montepuez,24,MZ,1541746284,99,-13.13,39.0,71.1,14.16
316,Gorom-Gorom,12,BF,1541746284,46,14.45,-0.24,63.99,5.32
317,Kieta,88,PG,1541746285,100,-6.22,155.63,77.35,4.81
318,Limon,1,US,1541742900,91,39.26,-103.69,15.98,4.47
319,Kaitangata,88,NZ,1541746285,97,-46.28,169.85,46.17,4.7
320,Tucuman,0,PE,1541746042,72,-17.17,-70.89,51.93,1.74
321,Deputatskiy,12,RU,1541746286,0,69.3,139.9,-34.97,2.8
322,Bud,0,NO,1541744400,86,62.91,6.91,48.2,6.93
323,Fortuna,20,ES,1541745000,54,38.18,-1.13,55.4,17.22
324,Salinopolis,100,BR,1541746287,97,-0.61,-47.36,81.27,15.55
325,Merrill,1,US,1541742780,37,42.03,-121.6,30.92,5.82
326,Mandalgovi,0,MN,1541746288,68,45.76,106.27,32.94,6.55
327,Rudnya,88,RU,1541746288,95,50.8,44.56,34.11,4.36
328,Taoudenni,0,ML,1541746288,42,22.68,-3.98,60.03,7.72
329,Jonkoping,90,SE,1541744400,100,57.78,14.16,44.6,2.24
330,Linxia,32,CN,1541746289,66,35.6,103.21,41.04,3.24
331,Kudahuvadhoo,80,MV,1541746289,100,2.67,72.89,83.02,14.16
332,Rafsanjan,8,IR,1541746290,75,30.4,55.99,56.7,3.2
333,Ribeira Grande,92,PT,1541746291,92,38.52,-28.7,69.57,29.86
334,Leiyang,0,CN,1541746291,94,26.42,112.85,62.1,4.03
335,Kosa,68,RU,1541746292,86,59.94,54.99,12.51,4.81
336,Rio Gallegos,0,AR,1541743200,100,-51.62,-69.22,37.4,13.87
337,Sangar,68,RU,1541746293,61,63.92,127.47,4.5,13.53
338,Pangody,20,RU,1541746294,63,65.85,74.49,-13.55,16.11
339,Mitsamiouli,20,KM,1541743200,74,-11.38,43.28,84.2,19.46
340,Aklavik,90,CA,1541743200,84,68.22,-135.01,6.8,3.36
341,Ajdabiya,32,LY,1541746295,92,30.75,20.22,57.82,2.98
342,Sola,0,NO,1541744400,81,58.89,5.65,48.2,8.05
343,Saldanha,92,PT,1541746296,93,41.42,-6.55,40.9,4.99
344,Saint George,75,GR,1541744400,87,39.45,22.34,55.4,4.7
345,Mozelos,40,PT,1541743200,93,41.0,-8.56,50.0,6.93
346,Sao Miguel do Iguacu,0,BR,1541743200,77,-25.35,-54.24,68.0,4.7
347,Devils Lake,90,US,1541746140,85,48.11,-98.87,12.2,14.99
348,Baruun-Urt,0,MN,1541746299,44,46.68,113.28,33.03,13.82
349,Bealanana,12,MG,1541746299,51,-14.54,48.75,79.29,2.24
350,Komatipoort,0,MZ,1541746300,78,-25.43,31.96,66.96,5.55
351,Sarahan,36,IN,1541746300,93,31.51,77.79,15.3,0.67
352,San Jose,0,PH,1541746301,60,15.79,120.99,85.0,7.11
353,Narsaq,20,GL,1541742600,73,60.91,-46.05,23.0,4.09
354,Codrington,44,AU,1541746303,64,-28.95,153.24,67.9,4.88
355,Nioro,0,GM,1541746303,53,13.79,-15.05,72.22,7.56
356,Haverfordwest,64,GB,1541742600,93,51.8,-4.97,51.8,13.87
357,Tabou,0,CI,1541746056,100,4.42,-7.36,80.77,0.0
358,Whitehorse,75,CA,1541743200,92,60.72,-135.06,28.4,9.17
359,Sambava,76,MG,1541746304,100,-14.27,50.17,78.84,15.05
360,San Juan,0,AR,1541746306,72,-31.54,-68.53,66.78,4.7
361,Opuwo,0,NA,1541746306,33,-18.06,13.84,66.15,5.03
362,Souillac,0,FR,1541745000,93,45.6,-0.6,51.8,2.24
363,Cuiluan,92,CN,1541746307,89,47.72,128.65,33.52,7.56
364,Port-Cartier,75,CA,1541743200,74,50.03,-66.88,35.6,10.29
365,Mitu,8,IR,1541746309,96,36.2,46.09,38.83,2.3
366,Yakeshi,88,CN,1541746310,64,49.28,120.73,29.16,6.04
367,Verkhoshizhemye,20,RU,1541746310,73,58.01,49.1,12.69,8.12
368,La Asuncion,64,EC,1541746311,99,-1.64,-78.74,42.25,0.85
369,Ugoofaaru,80,MV,1541746311,100,5.67,73.0,84.06,6.6
370,Bosaso,0,SO,1541743200,88,11.28,49.18,78.8,6.93
371,Nyurba,24,RU,1541746312,80,63.29,118.35,20.61,5.32
372,Zhongshu,0,CN,1541746313,70,24.52,103.77,64.89,10.07
